notes,target
I m just tired. Not physically tired. but emotionally. I'm just exhausted.,1
Most of us hide our feelings and won't ever say anything. We just try to sleep because those are the only couple hours our minds get rest before we end up exhausted again fighting demons inside us.,1
I always hid all my feelings from anyone and everyone. so I told them I was fine but being  just tired' meant tired of life. the constant symptoms of mental illness and myself.,1
I just want to be done.,1
That's a common one of mine. Or I would/will make  jokes' saying something like.  Oh look. a cliff. I'll be right back. Things like that only get an uncomfortable chuckle in response though.,1
[This] gets understood as wanting how I'm feeling at that point to be over. [when] I'm actually talking about life itself.,1
I just want to sleep.,1
Innocent enough. but deep down. it was a cry for help.,1
I can't keep doing this.,1
They think I mean whatever stressor I'm dealing with. they don't realize it's life I feel like I can't do any more.,1
I just want to be alone.,1
When I don't want to share with those closest to me. I say  I just want to be alone.' That statement is huge for me because I literally never want to be alone.,1
I want to go home.,1
I used to always say  I want to go home.' Life felt so meaningless and hard that nowhere felt familiar. nowhere felt like home. The idea of going home or being at home was so unattainable that  home' became an idea I just couldn't reach. and in my most distressing moments. I wanted nothing more than to go home. or to just cease to exist.,1
I want to go home. Like home is an unattainable thing that can never be reached.,1
I've said.  I want to go home' or make  lighthearted' jokes about it. Something like. if they ask if they can do anything I'll be like.  You could run me over with a car. haha JK!,1
If anything happens to me. promise to take care of…,1
For me it's  If anything happens to me. promise to take care of my animals.',1
I'm just stressed out.,1
I've been getting better handling my depression and anxiety through work. My job is like my therapy because I can focus on the task at hand and not about the negatives things going on in my life. My daughter is also helping me realize she has better chance at a happier life with me being around than she would if I was gone.,0
I'm having a hard time.,1
'I'm having a hard time.' But mostly I'm silent. and that's what concerns me and others.,1
No one cares.,1
I feel like I'm an afterthought to everybody… I feel like I've said those words so many times. sometimes it's a daily struggle to hold myself together.,1
I don't care.,1
What you're hearing is that I'm callous and apathetic. but what I'm saying is I'm completely consumed by suicidal thoughts and don't have the mental energy to spare for other things.,1
Saying  I don't care' a lot. But nobody notices.,1
What will heaven be like?,1
At the time when I was dealing with suicidal thoughts. I was very religious. and I would often engage people at my church in conversations about heaven — what we thought it might be like. how much better it would be than here and how much I wanted to be there. My church didn't believe that suicide was an automatic ticket to hell. so thinking about heaven was equivalent to me thinking about how much better off I would be if I were dead. My beliefs are quite different now. but themes of a possible afterlife could definitely be a warning sign.,1
[I said].  Soon I'll be home with my Heavenly Father.',1
I should just kill myself.,1
Me joking about me killing myself in any way is honestly a red flag for when I feel like I want to die… And while I'm mostly joking. it's also a code for how much I want to be dead.,1
In general making jokes about dying or being suicidal. Sometimes they know I'm serious because people know me well enough. but sometimes not.,1
I can't imagine living the rest of my life like this.,1
Most people don't get the seriousness behind it. When I say I literally can't see past all the problems. It's hard to think that depression and anxiety are something I have to live with every day for the rest of my life. I just hope to find better ways of coping and dealing with it.,1
I feel so much better.,1
I feel so much better.' If you know someone who is depressed and they suddenly start making statements like this. they [may] have decided to die…,1
You know I love you. right?,1
My boyfriend has talked me out of suicide several times because he knows when I say those words. it's bad. It's my subtle cry for help without saying.  I want to die.',1
I recall one day where I was just so emotional of the fact that [suicide loss survivors] never get their last goodbye. They're always left with.  I just want to tell them I love them one last time.' so I did exactly that. I spent a whole week with a specific member of my family each day. I talked with all my friends on the phone. told them how much I loved and appreciated them. Most of the guys were a little uneasy but appreciated it nonetheless. Then on the last day of the week. I stayed up talking with my best friend and told him how much I loved him. He was the only one [who] caught on. He spent the entire night talking me through all of my emotions and giving me motivation to hang on. I don't know where I'd be if it wasn't for him. he's the best I could ask for.,1
I want to disappear.,1
I just feel like disappearing' when I mean I want to end this suffering.,1
I wonder what it would be like if I could just disappear… Would anyone notice?,1
I want to tell you something. Oh. never mind.,1
I don't know.,1
I don't know' is sometimes code for.  I haven't thought that far because the first thing my brain jumps to is ending my life.',1
I'm not feeling good.,1
